Player,Team,Gms,Att,Cmp,Pct,Yds,YPA,TD,TD%T%,Int,Int%I%,Lg,Sack,Loss,Rate
Brock Purdy,SF,16,444,308,69.4,"4,280",9.6,31,7.0,11,2.5,76t,28,153,113.0
Dak Prescott,DAL,17,590,410,69.5,"4,516",7.7,36,6.1,9,1.5,92t,39,255,105.9
Kirk Cousins,MIN,8,311,216,69.5,"2,331",7.5,18,5.8,5,1.6,62t,17,110,103.8
Lamar Jackson,BAL,16,457,307,67.2,"3,678",8.1,24,5.2,7,1.5,80,37,218,102.7
Tua Tagovailoa,MIA,17,560,388,69.3,"4,624",8.3,29,5.2,14,2.5,78t,29,171,101.1
C.J. Stroud,HOU,15,499,319,63.9,"4,108",8.2,23,4.6,5,1.0,75t,38,331,100.8
Jake Browning,CIN,9,243,171,70.4,"1,936",8.0,12,4.9,7,2.9,80t,24,169,98.4
Russell Wilson,DEN,15,447,297,66.4,"3,070",6.9,26,5.8,8,1.8,60t,45,258,98.0
Jared Goff,DET,17,605,407,67.3,"4,575",7.6,30,5.0,12,2.0,70t,30,197,97.9
Derek Carr,NO,17,548,375,68.4,"3,878",7.1,25,4.6,8,1.5,58t,31,218,97.7
Jordan Love,GB,17,579,372,64.2,"4,159",7.2,32,5.5,11,1.9,77,30,242,96.1
Baker Mayfield,TB,17,566,364,64.3,"4,044",7.1,28,5.0,10,1.8,75t,40,232,94.6
Justin Herbert,LAC,13,456,297,65.1,"3,134",6.9,20,4.4,7,1.5,60,29,233,93.2
Patrick Mahomes,KC,16,597,401,67.2,"4,183",7.0,27,4.5,14,2.4,67,27,186,92.6
Matthew Stafford,LA,15,521,326,62.6,"3,965",7.6,24,4.6,11,2.1,80,30,205,92.5
Josh Allen,BUF,17,579,385,66.5,"4,306",7.4,29,5.0,18,3.1,81t,24,152,92.2
Geno Smith,SEA,15,499,323,64.7,"3,624",7.3,20,4.0,9,1.8,73t,31,231,92.1
Joe Burrow,CIN,10,365,244,66.8,"2,309",6.3,15,4.1,6,1.6,64t,24,180,91.0
Kyler Murray,ARI,8,268,176,65.7,"1,799",6.7,10,3.7,5,1.9,48t,18,119,89.4
Jalen Hurts,PHI,17,538,352,65.4,"3,858",7.2,23,4.3,15,2.8,63t,36,222,89.1
Trevor Lawrence,JAX,16,564,370,65.6,"4,016",7.1,21,3.7,14,2.5,65t,35,224,88.5
Justin Fields,CHI,13,370,227,61.4,"2,562",6.9,16,4.3,9,2.4,58,44,285,86.3
Gardner Minshew,IND,17,490,305,62.2,"3,305",6.7,15,3.1,9,1.8,75t,34,187,84.6
Will Levis,TEN,9,255,149,58.4,"1,808",7.1,8,3.1,4,1.6,61t,28,185,84.2
Aidan O'Connell,LV,11,343,213,62.1,"2,218",6.5,12,3.5,7,2.0,50,24,173,83.9
Desmond Ridder,ATL,15,388,249,64.2,"2,836",7.3,12,3.1,12,3.1,71t,31,197,83.4
Kenny Pickett,PIT,12,324,201,62.0,"2,070",6.4,6,1.9,4,1.2,72t,23,173,81.4
Joshua Dobbs,ARI/MIN,13,417,262,62.8,"2,464",5.9,13,3.1,10,2.4,69,30,217,79.5
Sam Howell,WAS,17,612,388,63.4,"3,946",6.5,21,3.4,21,3.4,51t,65,449,78.9
Zach Wilson,NYJ,12,368,221,60.0,"2,271",6.2,8,2.2,7,1.9,68t,46,340,77.2
Mac Jones,NE,11,345,224,64.9,"2,120",6.1,10,2.9,12,3.5,58t,22,127,77.0
Bryce Young,CAR,16,527,315,59.8,"2,877",5.5,11,2.1,10,1.9,48,62,477,73.7
